[2026-07-14T14:40:17.668Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-18T03:57:05.960Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-21T03:35:30.501Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-22T18:32:12.984Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-23T14:32:23.279Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-23T18:22:31.854Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-23T19:22:47.942Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-23T19:35:37.143Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-23T19:36:01.454Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-23T19:42:59.297Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-23T19:43:38.521Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T16:19:08.073Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T16:30:50.485Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T16:48:34.325Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T16:50:44.115Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T16:51:15.322Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T16:52:01.459Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T16:57:06.682Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T16:59:19.485Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T17:00:23.651Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T17:00:34.133Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-24T17:01:48.672Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
[2026-07-25T03:43:07.388Z] v2.5.4 loaded | ROOT=/Users/cesarbr/Documents/dev/sjr/seguridad_publica | __dirname=/Users/cesarbr/Documents/dev/sjr/seguridad_publica/.opencode/plugins
