"ruta","tipo","tienePermisoCheck","seccionDetectada","accionDetectada"
"(auth)/login/2fa/page.tsx","page","NO","",""
"(auth)/login/page.tsx","page","NO","",""
"(auth)/login/ptpag/page.tsx","page","NO","",""
"(auth)/login/setup-2fa/page.tsx","page","NO","",""
"admin/notificaciones/enviar/page.tsx","page","NO","",""
"admin/notificaciones/mantenimiento/page.tsx","page","NO","",""
"admin/notificaciones/matriz/page.tsx","page","NO","",""
"admin/notificaciones/page.tsx","page","NO","",""
"admin/page.tsx","page","NO","",""
"admin/roles/[id]/plantilla-permisos/page.tsx","page","NO","",""
"admin/roles/agregar/page.tsx","page","NO","",""
"admin/roles/page.tsx","page","NO","",""
"admin/sistema/page.tsx","page","NO","",""
"admin/usuarios/[id]/page.tsx","page","NO","",""
"admin/usuarios/nuevo/page.tsx","page","NO","",""
"admin/usuarios/page.tsx","page","NO","",""
"admin-transito/oficiales/[id]/page.tsx","page","NO","",""
"admin-transito/oficiales/nuevo/page.tsx","page","NO","",""
"admin-transito/oficiales/page.tsx","page","NO","",""
"admin-transito/page.tsx","page","NO","",""
"agente_911/ciudadano/incidentes/[id]/page.tsx","page","si","911_ciudadano","ver"
"agente_911/ciudadano/incidentes/page.tsx","page","si","911_ciudadano","ver"
"agente_911/ciudadano/page.tsx","page","si","911_ciudadano","ver"
"agente_911/ciudadano/revisar/page.tsx","page","si","911_ciudadano","ver"
"agente_911/despacho/page.tsx","page","si","911_despacho","ver"
"agente_911/page.tsx","page","si","",""
"agente_911/rondin/incidentes/[id]/page.tsx","page","si","911_rondin|incidentes","ver"
"agente_911/rondin/incidentes/page.tsx","page","si","911_rondin","ver"
"agente_911/rondin/page.tsx","page","si","911_rondin","ver"
"agente_911/whatsapp/incidentes/[id]/page.tsx","page","si","911_whatsapp|incidentes","ver"
"agente_911/whatsapp/incidentes/page.tsx","page","si","911_whatsapp","ver"
"agente_911/whatsapp/page.tsx","page","si","911_whatsapp","ver"
"agente_bitacorista/page.tsx","page","si","",""
"agente_despacho/kpi-incidencias/page.tsx","page","si","911_despacho","ver"
"agente_despacho/page.tsx","page","si","",""
"agente_infracciones/page.tsx","page","NO","",""
"agente_infracciones/revision-documental/[id]/page.tsx","page","NO","",""
"agente_juzgado/asegurados/[id]/page.tsx","page","NO","",""
"agente_juzgado/asegurados/page.tsx","page","NO","",""
"agente_juzgado/asegurados/puesta-disposicion/[id]/page.tsx","page","NO","",""
"agente_juzgado/detenidos/[id]/page.tsx","page","NO","",""
"agente_juzgado/detenidos/page.tsx","page","NO","",""
"agente_juzgado/liberaciones/[id]/page.tsx","page","NO","",""
"agente_juzgado/liberaciones/page.tsx","page","NO","",""
"agente_juzgado/page.tsx","page","NO","",""
"agente_juzgado/solicitudes/[solicitudId]/page.tsx","page","si","",""
"agente_juzgado/solicitudes/page.tsx","page","NO","",""
"agente_liberaciones/page.tsx","page","NO","",""
"agente_liberaciones/revision-documental/[id]/page.tsx","page","NO","",""
"agente_liberaciones/revision-documental/page.tsx","page","NO","",""
"agente_reportes/page.tsx","page","NO","",""
"analisis/formulario-ingreso/page.tsx","page","si","analisis","crear|ver"
"analisis/generar-ppt/page.tsx","page","si","analisis","ver"
"analisis/iph/page.tsx","page","si","analisis","ver"
"analisis/page.tsx","page","si","analisis","ver"
"analisis/pendiente-analisis/page.tsx","page","si","analisis","ver"
"auxiliar/checklist/[id]/page.tsx","page","si","auxiliar_checklist","ver"
"auxiliar/checklist/page.tsx","page","si","auxiliar_checklist","ver"
"auxiliar/cuestionario-robo/page.tsx","page","si","auxiliar_cuestionario_robo","ver"
"auxiliar/page.tsx","page","si","auxiliar_checklist","ver"
"corralon/page.tsx","page","NO","",""
"corralon/solicitudes/page.tsx","page","NO","",""
"d1/page.tsx","page","si","reportes_ciudadano","ver"
"d1_noiniciada/page.tsx","page","si","reportes_ciudadano","ver"
"dashboard/catalogos/oficiales/[id]/page.tsx","page","NO","",""
"dashboard/catalogos/oficiales/nuevo/page.tsx","page","NO","",""
"dashboard/catalogos/oficiales/page.tsx","page","NO","",""
"dashboard/catalogos/page.tsx","page","NO","",""
"dashboard/catalogos/patrullas/[id]/page.tsx","page","NO","",""
